facility_id,animal_id,date_collected,date_processed,sample_source,pasture_id,date_treated,anthelmintic,trichostongyle,epg,detected
camphill,310N,6/27/24,6/28/24,cow,shade_tree,,,1,100,1
camphill,n/a,6/27/24,6/28/24,pasture,shade_tree,,,1,<50,1
camphill,n/a,6/27/24,6/28/24,pasture,shade_tree,,,0,<50,0
camphill,RT30,6/27/24,6/28/24,cow,cornplot,,,1,<50,1
camphill,1710,6/7/24,6/7/24,cow,Maples,,,0,<50,0
camphill,8706,6/7/24,6/7/24,cow,Maples,,,0,<50,0
camphill,9045,6/7/24,6/7/24,cow,Maples,,,0,<50,0
camphill,9684,6/7/24,6/7/24,cow,Maples,,,0,<50,0
camphill,006J,6/7/24,6/7/24,cow,RT,,,0,<50,0
camphill,015J,6/7/24,6/7/24,cow,RT,,,0,<50,0
camphill,0H11,6/7/24,6/7/24,cow,RT,,,0,<50,0
camphill,n/a,6/7/24,6/7/24,pasture,RT,,,1,100,1
camphill,n/a,6/7/24,6/7/24,pasture,Maples,,,0,<50,0
nabu,301L,6/4/24,6/4/24,cow,GP3 ,4/15/24,,0,<50,0
nabu,407L,6/4/24,6/4/24,cow,GP3 ,4/15/24,valcor,0,<50,0
nabu,423L,6/4/24,6/4/24,cow,GP3 ,4/15/24,valcor,0,<50,0
nabu,027L,5/30/24,5/31/24,cow,GP5,4/15/24,noromectin+safeguard,0,<50,0
nabu,319L,5/30/24,5/31/24,cow,GP5,4/15/24,noromectin+safeguard,0,<50,0
nabu,323L,5/30/24,5/31/24,cow,GP5,4/15/24,,1,50,1
nabu,343L,5/30/24,5/31/24,cow,GP5,4/15/24,,0,<50,0
nabu,346L,5/30/24,5/31/24,cow,GP5,4/15/24,,0,<50,0
nabu,390L,5/30/24,5/31/24,cow,GP5,4/15/24,noromectin+safeguard,0,<50,0
nabu,418L,5/30/24,5/31/24,cow,GP5,4/15/24,dectomax,0,<50,0
nabu,316L,5/20/24,5/24/24,cow,GP3 ,4/15/24,noromectin+safeguard,0,<50,0
nabu,328L,5/20/24,5/24/24,cow,GP5,4/15/24,,0,<50,0
