species,facility,animal_id,date_collected,date_processed,sample_source,epg,detected,samples
Dairy Cow,au_dairy,121,10/15/24,10/18/24,cow,50,1,1
Dairy Cow,au_dairy,2006,10/15/24,10/18/24,cow,100,1,1
Dairy Cow,au_dairy,2016,10/15/24,10/18/24,cow,49,0,1
Dairy Cow,au_dairy,2001,10/15/24,10/18/24,cow,49,0,1
Dairy Cow,au_dairy,106,10/15/24,10/18/24,cow,49,1,1
Dairy Cow,au_dairy,212,10/15/24,10/18/24,cow,49,0,1
Dairy Cow,au_dairy,210,10/15/24,10/18/24,cow,49,1,1
Dairy Cow,au_dairy,808,10/15/24,10/18/24,cow,49,1,1
Dairy Cow,au_dairy,915,10/15/24,10/18/24,cow,49,1,1
Dairy Cow,au_dairy,902,10/15/24,10/18/24,cow,49,0,1
Dairy Cow,au_dairy,112,10/15/24,10/18/24,cow,50,1,1
Dairy Cow,au_dairy,203,10/15/24,10/18/24,cow,49,0,1
Dairy Cow,au_dairy,215,2/3/25,2/7/25,cow,50,1,1
Dairy Cow,au_dairy,203,2/3/25,2/7/25,cow,50,1,1
Dairy Cow,au_dairy,218,2/3/25,2/7/25,cow,49,1,1
Dairy Cow,au_dairy,207,2/3/25,2/7/25,cow,49,1,1
Dairy Cow,au_dairy,118,2/3/25,2/6/25,cow,150,1,1
Dairy Cow,au_dairy,2006,2/3/25,2/6/25,cow,50,1,1
Dairy Cow,au_dairy,206,2/3/25,2/6/25,cow,100,1,1
Beef Cow,NABU,355L,5/20/24,5/24/24,cow,49,0,1
Beef Cow,NABU,394L,5/20/24,5/24/24,cow,49,0,1
Beef Cow,NABU,382L,5/20/24,5/24/24,cow,150,1,1
Beef Cow,NABU,402L,5/20/24,5/24/24,cow,49,0,1
Beef Cow,NABU,403L,5/20/24,5/24/24,cow,49,0,1
Beef Cow,NABU,316L,5/20/24,5/24/24,cow,49,0,1
Beef Cow,NABU,333L,5/20/24,5/24/24,cow,100,1,1
Beef Cow,NABU,328L,5/20/24,5/24/24,cow,49,0,1
Beef Cow,NABU,332L,5/20/24,5/24/24,cow,50,1,1
Beef Cow,NABU,343L,5/30/24,5/31/24,cow,49,0,1
Beef Cow,NABU,319L,5/30/24,5/31/24,cow,49,0,1
Beef Cow,NABU,027L,5/30/24,5/31/24,cow,49,0,1
Beef Cow,NABU,390L,5/30/24,5/31/24,cow,49,0,1
Beef Cow,NABU,323L,5/30/24,5/31/24,cow,50,1,1
Beef Cow,NABU,418L,5/30/24,5/31/24,cow,49,0,1
Beef Cow,NABU,346L,5/30/24,5/31/24,cow,49,0,1
Beef Cow,NABU,423L,6/4/24,6/4/24,cow,49,0,1
Beef Cow,NABU,407L,6/4/24,6/4/24,cow,49,0,1
Beef Cow,NABU,301L,6/4/24,6/4/24,cow,49,0,1
Beef Cow,camphill,n/a,6/7/24,6/7/24,pasture,100,1,1
Beef Cow,camphill,006J,6/7/24,6/7/24,cow,49,0,1
Beef Cow,camphill,0H11,6/7/24,6/7/24,cow,49,0,1
Beef Cow,camphill,015J,6/7/24,6/7/24,cow,49,0,1
